location,lat,lng,date,time_start,mode,volume
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T10:15:00,ped,108.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T10:15:00,bike,11.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T10:15:00,vehicle,291.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T10:30:00,ped,121.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T10:30:00,bike,8.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T10:30:00,vehicle,256.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T10:45:00,ped,96.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T10:45:00,bike,9.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T10:45:00,vehicle,263.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T11:00:00,ped,106.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T11:00:00,bike,13.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T11:00:00,vehicle,220.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T11:15:00,ped,133.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T11:15:00,bike,12.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T11:15:00,vehicle,262.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T11:30:00,ped,194.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T11:30:00,bike,14.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T11:30:00,vehicle,236.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T11:45:00,ped,213.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T11:45:00,bike,15.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T11:45:00,vehicle,247.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T13:00:00,ped,265.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T13:00:00,bike,12.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T13:00:00,vehicle,254.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T13:15:00,ped,241.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T13:15:00,bike,19.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T13:15:00,vehicle,228.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T13:30:00,ped,234.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T13:30:00,bike,20.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T13:30:00,vehicle,241.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T13:45:00,ped,192.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T13:45:00,bike,17.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T13:45:00,vehicle,269.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T14:00:00,ped,179.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T14:00:00,bike,22.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T14:00:00,vehicle,258.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T14:15:00,ped,169.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T14:15:00,bike,12.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T14:15:00,vehicle,256.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T14:30:00,ped,161.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T14:30:00,bike,19.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T14:30:00,vehicle,234.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T14:45:00,ped,230.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T14:45:00,bike,26.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T14:45:00,vehicle,239.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T16:00:00,ped,232.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T16:00:00,bike,14.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T16:00:00,vehicle,327.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T16:15:00,ped,203.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T16:15:00,bike,17.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T16:15:00,vehicle,353.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T16:30:00,ped,249.0
